name,categories,cast
El Justiciero: Capítulo Final (2023),"Action,Crime,Thriller","Denzel Washington,Dakota Fanning,Eugenio Mastrandrea,David Denman"
Max (2023),"Animation,History","Ashley Greene,Hector Elizondo,David Henrie,Weronika Rosati"
Dioses de México (2022),Documentary,
Catacumbas: Invasión Final (2021),"Action,Sci-Fi","Xiao-su Ling,Chao Jiang,Jianyu Liu,Zijia Wang"
Taylor Swift: The Eras Tour (2023),Music,"Taylor Swift,Amanda Balen,Taylor Banks,Karen Chuang"
La Maldición De David (2023),"Horror,Thriller","Justin Long,Andrea Bang,Augustus Prew,Rachel Wilson"
Los Asesinos De La Luna (2023),"Crime,Drama,History","Leonardo DiCaprio,Robert De Niro,Lily Gladstone,Jesse Plemons"
12 Horas Para El Fin Del Mundo (2022),"Adventure,Drama,Sci-Fi","Anatoliy Belyy,Veronika Ustimova,Yevgeniy Yegorov,Darya Moroz"
Radical (2023),Drama,"Eugenio Derbez,Daniel Haddad,Jennifer Trejo,Mia Fernanda Solis"
Guerra De Herederos (2022),Comedy,"Toni Collette,Anna Faris,David Duchovny,Rosemarie DeWitt"
La Puerta Al Infierno: Guimoon (2021),"Horror,Mystery,Thriller","Kang-woo Kim,So-hye Kim"
Five Nights at Freddy's (2023),Horror,"Josh Hutcherson,Mary Stuart Masterson,Lucas Grant,David Huston Doty"
El Poder De Los Centavos (2023),"Biography,Comedy,Drama","Paul Dano,Pete Davidson,Vincent D'Onofrio,America Ferrera"
Trolls 3: Se armó la banda (2023),"Animation,Adventure,Comedy","Justin Timberlake,Anna Kendrick,Zooey Deschanel,Daveed Diggs"
Hipnosis: Arma Invisible (2023),"Action,Mystery,Thriller","Ben Affleck,Alice Braga,JD Pardo,Dayo Okeniyi"
Aristóteles Y Dante Descubren Los Secretos Del Universo (2022),Drama,"Luna Blaise,Eva Longoria,Kevin Alejandro,Veronica Falcón"
Atentado En El Aire (2023),Thriller,"Jonathan Rhys Meyers,Alec Baldwin,MyAnna Buring,Jo Martin"
Señora Influencer (2023),Comedy,"Mónica Huarte,Macarena García Romero,Diana Carreiro,Bárbara Lombardo"
Confessions (2023),Thriller,"Ana Claudia Talancón,Claudia Ramírez,Juan Manuel Bernal,Luis Gnecco"
The Marvels (2023),"Action,Adventure,Fantasy","Brie Larson,Samuel L. Jackson,Zawe Ashton,Iman Vellani"
